date,gdp,gnp,potential_gdp,real_gdp,real_gnp,real_potential_gdp,real_gdp_nfb,potential_lf,potential_lf_prod,potential_lfpr,noncyclical_rate_of_unemployment,output_gap,nfb_real_potential_gdp,nfb_potential_hrs_worked,nfb_index_capital_services,nfb_potential_tfp,nfb_potential_lab_prod,nfb_capital_share,pce_price_index,core_pce_price_index,cpiu,core_cpiu,chained_cpiu,gdp_price_index,eci_wages_salaries,oil_rac_imported,oil_price_wti_spot,nat_gas_price_henry_hub,house_price_index_fhfa,exchange_rate_export_weighted,unemployment_rate,labor_force,lfpr_16yo,empl_civ_16yo,empl_payroll_nf,output_per_hr_nfb,hours_nfb,population_civ_16yo,households,treasury_note_rate_10yr,treasury_bill_rate_3mo,fed_funds_rate,personal_income,compensation,wages_and_salaries,nonwage_income,prop_inc_farm_adj,prop_inc_nonfarm_adj,rental_inc_adj,interest_inc_pers,dividend_inc_pers,corp_profits_adj,corp_profits_domestic_adj,pce,gross_pri_dom_invest,nonres_fixed_invest,res_fixed_invest,change_pri_inv,government_c_gi,federal_government_c_gi,sl_government_c_gi,net_exports,exports,imports,current_account_balance,real_pce,real_gross_pri_dom_invest,real_nonres_fixed_invest,real_res_fixed_invest,real_change_pri_invest,real_government_c_gi,real_federal_government_c_gi,real_sl_government_c_gi,real_net_exports,real_exports,real_imports
1949,272.4750,273.7750,NA,2108.0000,2122.4250,NA,1361.4500,61.394151452358872,NA,58.984376210554752,5.264786295974732,NA,NA,NA,11.21621770336595,NA,NA,0.329,13.095750,NA,23.809166666666668,NA,NA,12.933000,NA,NA,NA,NA,NA,NA,6.05,61.39475,59.035978031072416,57.682583333333344,43.83375,25.118000,44.957000,103.99433333333332,NA,NA,1.115,NA,211.0750,144.350,134.7250,60.37500,11.975000,22.7000,7.800000,10.67500,7.22500,29.05000,27.92500,178.3000,39.09950,26.94975,14.84100,-2.6915,49.80800,30.42275,19.38550,5.250000,14.47500,9.2500,0.87500,1361.7250,206.67600,121.01025,143.70675,-13.1860000,610.99725,296.30825,296.96300,5.6500,71.50000,65.85000
1950,299.8250,301.3000,296.0040534035594,2291.1000,2307.0000,2262.6233142137612,1499.1000,61.843419657500728,36.586174025497552,59.018603313875088,5.29125475,1.2309292333294474,1464.7187373782252,46.423648340825392,11.572865730695886,41.501923756223976,16.46031177822421,0.329,13.251750,NA,24.0625,NA,NA,13.055000,NA,NA,NA,NA,NA,NA,5.2083333333333336,62.121666666666672,59.165462345255672,58.891666666666664,45.28225,26.787750,46.390750,104.99608333333334,NA,NA,1.2033333333333334,NA,233.7500,158.275,147.2500,66.95000,12.850000,24.6500,8.775000,11.82500,8.85000,36.05000,34.77500,192.0250,56.53050,30.01750,20.74375,5.7695,50.51450,29.41800,21.09700,0.725000,12.35000,11.6000,-1.85000,1449.1750,287.90625,132.03725,196.02800,24.9255000,613.46275,283.02000,321.05700,-15.2250,62.62500,77.85000
1951,346.9250,348.8000,333.95953176400724,2475.4500,2494.5750,2382.9249256568144,1610.1250,61.798261501122576,38.559705399419912,59.056802215973944,5.3179794758682248,3.8817530359401216,1538.576169191952,46.97774779057896,12.009967705432578,42.732400927290808,17.086342842823718,0.329,14.154500,NA,25.973333333333336,NA,NA,13.940250,NA,NA,NA,NA,NA,NA,3.2833333333333332,62.016666666666664,59.276760656594872,59.966750000000008,47.92575,27.486500,48.581250,104.62208333333334,NA,NA,1.5175,NA,264.2000,185.725,171.6000,73.72500,15.300000,27.2750,9.725000,12.85000,8.57500,41.20000,39.45000,208.3250,62.75750,34.18700,18.66125,9.90925,73.30350,49.94750,23.35650,2.500000,17.10000,14.6000,0.90000,1471.9000,288.59975,137.52925,164.55350,34.5825000,838.81950,461.95275,323.53075,-4.1750,76.75000,80.92500
1952,367.3250,369.3250,359.63789437961004,2576.6750,2596.4250,2522.7250699842276,1659.0000,62.34520008964248,40.461556798960376,59.09646519924044,5.34208873021698,2.1414433819707808,1623.7320512427268,47.993463868476496,12.401592302849078,43.965382041531528,17.650036868977004,0.329,14.444750,NA,26.566666666666668,NA,NA,14.244250,NA,NA,NA,NA,NA,NA,3.0250000000000004,62.152666666666672,59.06453352280696,60.272416666666664,48.902666666666664,28.006250,49.121250,105.22891666666666,NA,NA,1.7225000000000002,NA,282.4750,201.075,185.6500,76.42500,14.300000,28.7250,10.825000,14.00000,8.57500,39.65000,37.77500,219.3500,57.27325,34.90100,18.85825,3.51425,89.58350,64.81500,24.76800,1.175000,16.45000,15.3000,0.57500,1518.3250,265.02700,137.40750,161.84125,13.9102500,1004.49775,592.95125,328.75525,-14.5750,73.45000,88.02500
1953,389.2250,391.1250,381.54790863838792,2697.4750,2716.6250,2644.1447271313,1742.5750,63.376600289639144,41.720242960048456,59.134708865447536,5.3608162609329224,2.0311715964274836,1697.542964533226,49.03120161187516,12.775544057304392,44.865770006698192,18.062532370831644,0.329,14.634500,NA,26.768333333333336,NA,NA,14.426250,NA,NA,NA,NA,NA,NA,2.9250000000000004,63.056,58.90168068347468,61.206250000000008,50.303666666666672,28.696250,50.358750,107.05491666666668,NA,NA,1.8908333333333332,NA,299.2000,215.225,198.9750,78.55000,12.150000,29.8250,12.050000,15.65000,8.87500,40.27500,38.50000,232.7500,60.41475,38.76750,19.69900,1.948,96.76450,70.27425,26.49050,-0.725000,15.32500,16.0000,-1.30000,1590.3250,279.91850,151.17825,167.85275,8.6707500,1073.08850,637.89375,344.76700,-27.8250,68.50000,96.32500
1954,390.5250,392.6250,395.95697911284832,2681.8750,2702.1000,2719.2094998691868,1716.2500,64.09360423240092,42.425124130026512,59.168739037175328,5.3743656125183104,-1.376437593347668,1743.7168715716126,49.429698309010944,13.137471332867116,45.41216798701336,18.404473241139968,0.329,14.758000,NA,26.865,NA,NA,14.573500,NA,NA,NA,NA,NA,NA,5.5916666666666664,63.672083333333336,58.781559390238304,60.106583333333336,49.08725,29.250500,48.658250,108.32075,NA,2.4016666666666664,0.93833333333333328,NA,302.2250,214.125,197.2750,81.85000,11.775000,30.5000,13.050000,17.25000,9.27500,39.45000,37.52500,239.6250,58.06900,38.56500,21.44175,-1.93775,92.46725,63.25550,29.21175,0.400000,15.82500,15.4500,0.15000,1623.6000,268.91125,148.99600,181.96375,-8.3085000,1004.07275,560.77950,374.58025,-19.7250,71.82500,91.55000
1955,425.4750,427.9250,412.66673924937344,2873.1500,2895.6000,2786.7841160119632,1861.7250,64.906351934060736,42.934914277630168,59.195633685728504,5.3849254999999992,3.094511852254578,1786.8941298604298,49.781501756910896,13.563918745405086,45.859458200967408,18.72687152044962,0.329,14.815500,NA,26.795833333333336,NA,NA,14.779500,NA,NA,NA,NA,NA,NA,4.3666666666666672,64.964333333333344,59.226864954160744,62.1305,50.736833333333336,30.504250,50.612500,109.68341666666668,NA,2.8166666666666664,1.725,1.7850000000000002,324.1750,230.575,212.1750,86.95000,10.725000,33.5250,13.400000,18.82500,10.47500,50.17500,47.82500,258.3000,73.75475,43.36350,25.40375,4.9879999999999992,92.95800,61.01550,31.94275,0.450000,17.65000,17.2000,0.37500,1743.3750,331.07650,165.08625,211.20575,20.6257500,971.51600,516.04575,401.39750,-23.1250,79.50000,102.62500
1956,449.3500,452.1250,437.8574548890856,2934.4000,2958.8000,2859.347494320706,1896.5500,65.68861637893724,43.528247308411,59.21266580485444,5.39470911403656,2.6243704393431156,1834.998118091296,50.114679315781344,14.087766155547034,46.314575901251472,19.103164986923008,0.329,15.110750,NA,27.190833333333332,NA,NA,15.285500,NA,NA,NA,NA,NA,NA,4.125,66.537333333333336,59.968669042455944,63.792416666666664,52.468333333333336,30.325750,51.863000,110.95383333333334,NA,3.1825,2.6275,2.7283333333333336,347.9250,249.275,229.0500,91.82500,10.600000,35.2250,13.675000,21.02500,11.30000,49.62500,46.82500,271.1250,77.68375,49.74750,23.98725,3.949,98.17975,63.11475,35.06500,2.350000,21.30000,18.9250,2.65000,1794.3000,330.16900,176.26150,194.46400,15.4090000,973.79500,509.12200,414.33450,-18.3250,92.62500,110.95000
1957,474.0500,477.1000,466.20771398804592,2996.2000,3021.8250,2946.5043185097084,1934.4000,66.491802894845936,44.312839723375288,59.218036335048248,5.4057553447265632,1.6956630137663354,1893.1106570305192,50.519657240011528,14.585778894610848,46.957141553146128,19.549963514077616,0.329,15.569750,NA,28.113333333333332,28.933333333333332,NA,15.820000,NA,NA,NA,NA,NA,NA,4.3,66.94225,59.62876779724976,64.064833333333336,52.957083333333328,31.105750,51.575500,112.2655,NA,3.6475,3.225,3.105,368.0000,262.575,239.9500,97.30000,10.525000,37.2500,14.075000,23.70000,11.75000,49.15000,46.02500,286.3250,76.50475,53.09650,22.63100,0.77725,107.16275,68.45350,38.70925,4.075000,24.02500,19.9500,4.72500,1838.7750,317.81075,179.35450,182.98450,3.7865000,1018.64250,529.04825,438.57625,-14.8750,100.70000,115.57500
1958,481.2250,483.8500,493.6973933203132,2973.9750,2996.4000,3051.2297728103104,1896.3250,67.363700817234648,45.29384867751776,59.2115897784736,5.4206484509277344,-2.541911246789158,1963.0292690418292,51.059365945488256,14.983880454415812,47.895504886699744,20.057690184792356,0.329,15.938250,NA,28.880833333333332,29.591666666666664,NA,16.188250,NA,NA,NA,NA,NA,NA,6.8416666666666664,67.670083333333336,59.503547428587912,63.043000000000008,51.424833333333336,31.817000,49.421250,113.7245,NA,3.3158333333333336,1.7708333333333332,1.5725,378.9500,264.675,241.3000,102.20000,12.400000,37.7250,14.825000,25.65000,11.60000,43.87500,41.35000,295.6000,70.94875,48.49150,22.82250,-0.36550000000000016,114.13800,71.52100,42.61725,0.550000,20.55000,20.0250,0.80000,1854.7000,294.78500,162.65000,184.98575,-0.9612500,1052.77250,531.84700,475.42225,-34.0000,87.07500,121.07500
